year,X7929,X77.2530.5,,lat  ,long,location
1901,39.725,37.05,,29,79,"Lambda Khera, UP"
1902,39.375,36.3,,30.5,77.25,"Bikramabad, HP"
1903,39.2,37.2,,,,
1904,38.15,36.2,,,,
1905,39.325,37,,,,
1906,40.95,38.15,,,,
1907,38.225,35.1,,,,
1908,39.3,37.1,,,,
1909,39,36.25,,,,
1910,38.775,36.3,,,,
1911,40.35,37.25,,,,
1912,38.425,36.4,,,,
1913,37.025,34.25,,,,
1914,38.225,35.45,,,,
1915,40.1,38.25,,,,
1916,39.475,36.1,,,,
1917,36.175,34.25,,,,
1918,39.875,37.75,,,,
1919,37.9,37.05,,,,
1920,36.325,34.45,,,,
1921,41.825,39.1,,,,
1922,40.375,37.05,,,,
1923,39.875,37.45,,,,
1924,40.525,37.95,,,,
1925,38.8,36.25,,,,
1926,39.675,37.05,,,,
1927,37.9,35.55,,,,
1928,40.35,37.75,,,,
1929,40.3,37.25,,,,
1930,39.025,36.1,,,,
1931,39.2,36.25,,,,
1932,39.275,37.1,,,,
1933,36.825,35.7,,,,
1934,38.875,35.45,,,,
1935,40.175,36.75,,,,
1936,39.475,37.7,,,,
1937,38.25,35.8,,,,
1938,39.675,37.65,,,,
1939,40.625,37.4,,,,
1940,39.4,36.5,,,,
1941,39.875,37.35,,,,
1942,39.55,36.55,,,,
1943,39.725,36.3,,,,
1944,41.2,37.75,,,,
1945,39.325,35.1,,,,
1946,37.75,35.85,,,,
1947,39.75,38,,,,
1948,40.4,36.65,,,,
1949,38.85,37.1,,,,
1950,39.475,36.75,,,,
1951,39.25,35.7,,,,
1952,39.425,36.35,,,,
1953,39.95,37.5,,,,
1954,41.15,37.8,,,,
1955,38.275,36.45,,,,
1956,40.125,38.15,,,,
1957,38.625,35.3,,,,
1958,39.65,37,,,,
1959,39.175,36.15,,,,
1960,40.475,37.9,,,,
1961,38.7,36,,,,
1962,39.275,36.15,,,,
1963,37.725,35.55,,,,
1964,39.125,36.4,,,,
1965,39.9,36.95,,,,
1966,40.25,36.75,,,,
1967,39.6,36.95,,,,
1968,39.45,36.4,,,,
1969,38.75,36.7,,,,
1970,39.325,36.95,,,,
1971,35.775,34.1,,,,
1972,41.475,37.65,,,,
1973,39.425,36.85,,,,
1974,38.4,35.45,,,,
1975,40.175,36.45,,,,
1976,38.05,35.2,,,,
1977,36.25,34.05,,,,
1978,41.275,38.65,,,,
1979,38.05,35.65,,,,
1980,40.825,37.7,,,,
1981,38.275,36,,,,
1982,37.3,35.6,,,,
1983,36.725,34.3,,,,
1984,41.875,38.15,,,,
1985,39,36,,,,
1986,37.05,34.25,,,,
1987,38.975,35.05,,,,
1988,40.025,36.7,,,,
1989,38.85,35.3,,,,
1990,37.45,34.75,,,,
1991,38.55,34.45,,,,
1992,37.175,34.4,,,,
1993,37.85,35.25,,,,
1994,39.15,35.75,,,,
1995,39.075,36.85,,,,
1996,38.525,35.65,,,,
1997,36.1,33.25,,,,
1998,39.05,35.95,,,,
1999,37.875,35.55,,,,
2000,38.025,35.95,,,,
2001,38.05,35.75,,,,
2002,40.65,37.85,,,,
2003,38.6,35.45,,,,
2004,39.575,36.15,,,,
2005,38.7,36.2,,,,
2006,38.325,36.3,,,,
2007,37.75,35.05,,,,
2008,36.9,33.55,,,,
2009,38.575,35.8,,,,
2010,39.3,36.5,,,,
2011,38.775,36.3,,,,
2012,39.95,37.15,,,,
2013,39.675,36.65,,,,
2014,38.825,36.3,,,,
2015,39.2,35.85,,,,
2016,38.7,36.1,,,,
2017,38.25,35.25,,,,